depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
0,,,,,,,0.0
1,,,,,,,0.0336
2,,,,,,,0.0672
3,,,,,,,0.1008
4,,,,,,,0.1344
5,,,,,,,0.168
6,,,,,,,0.2016
7,,,,,,,0.2352
8,,,,,,,0.2688
9,,,,,,,0.3024
10,,,,,,,0.336
11,,,,,,,0.3696
12,,,,,,,0.4032
13,,,,,,,0.4368
14,,,,,,,0.4704
15,,,,,,,0.504
16,,,,,,,0.5376
17,,,,,,,0.5712
18,,,,,,,0.6048
19,,,,,,,0.6384
20,,,,,,,0.672
21,,,,,,,0.7056
22,,,,,,,0.7392
23,,,,,,,0.7728
24,,,,,,,0.8064
25,,,,,,,0.84
26,,,,,,,0.8736
27,,,,,,,0.9072
28,,,,,,,0.9408
29,,,,,,,0.9744
30,,,,,,,1.008
31,,,,,,,1.0416
32,,,,,,,1.0752
33,,,,,,,1.1088
34,,,,,,,1.1424
35,,,,,,,1.176
36,,,,,,,1.2096
37,0.0813645,0.999486,1.00664,1.00119,0.999516,0.989191,1.2432
38,0.0817574,1.00108,1.00551,1.00168,1.00066,0.987294,1.2768
39,0.0818593,0.999454,1.00461,1.00224,1.00126,0.989091,1.3104
40,0.0814984,0.99984,1.00404,1.00173,1.002,0.989275,1.344
41,0.0807255,0.999685,1.0037,1.00047,1.00204,0.990129,1.3776
42,0.0793902,0.999143,1.00411,1.00049,1.00102,0.991748,1.4112
43,0.0776553,0.999529,1.00373,1.00103,1.00056,0.992485,1.4448
44,0.0755281,0.999021,1.00333,1.00074,1.00144,0.993303,1.4784
45,0.0730285,1.00018,1.0027,1.00141,1.00069,0.993031,1.512
46,0.0705582,1.00109,1.00178,1.00117,1.00063,0.992872,1.5456
47,0.0682074,1.00128,1.00159,1.0013,1.00047,0.992573,1.5792
48,0.0661352,1.00147,1.00216,1.00106,1.00053,0.992086,1.6128
49,0.0642051,1.00093,1.00248,1.00083,0.999461,0.991912,1.6464
50,0.0625171,1.00102,1.00244,1.00113,0.999108,0.991912,1.68
51,0.0610885,1.00183,1.00253,1.00169,0.998679,0.991554,1.7136
52,0.0598588,1.0015,1.00287,1.00189,0.998295,0.991264,1.7472
53,0.0589827,1.00085,1.00308,1.00136,0.99854,0.991156,1.7808
54,0.0584149,1.00166,1.00425,1.00215,0.999049,0.991101,1.8144
55,0.0580314,1.00134,1.00487,1.00229,0.999512,0.990488,1.848
56,0.0578335,1.00152,1.00472,1.00236,0.999246,0.990605,1.8816
57,0.0577432,1.00165,1.00527,1.00334,0.999371,0.990165,1.9152
58,0.0577848,1.00183,1.00565,1.00429,0.999267,0.99013,1.9488
59,0.0580866,1.00189,1.00491,1.00436,0.998915,0.99016,1.9824
60,0.0586131,1.00198,1.00456,1.00408,0.999083,0.989677,2.016
61,0.0594498,1.00198,1.00411,1.0045,0.999322,0.99039,2.0496
62,0.060662,1.00172,1.00339,1.00391,0.999767,0.990636,2.0832
63,0.0620759,1.0003,1.00329,1.00403,0.999998,0.990922,2.1168
64,0.0637147,1.00018,1.00313,1.00359,1.00029,0.990672,2.1504
65,0.0654562,0.999904,1.0027,1.00359,1.00075,0.990365,2.184
66,0.067157,0.99931,1.0024,1.00325,1.0013,0.99037,2.2176
67,0.0688062,0.99831,1.00183,1.00348,1.0017,0.989659,2.2512
68,0.0701269,0.997919,1.00259,1.00312,1.00244,0.990543,2.2848
69,0.0711256,0.998645,1.00285,1.00272,1.00236,0.990568,2.3184
70,0.0716771,0.998507,1.00159,1.00228,1.00278,0.990927,2.352
71,0.0717953,0.996399,1.00167,1.00209,1.00247,0.991449,2.3856
72,0.0716107,0.996007,1.00307,1.00207,1.00211,0.991956,2.4192
73,0.0711531,0.995452,1.00328,1.00215,1.00109,0.992866,2.4528
74,0.0706796,0.995828,1.00343,1.00227,1.00074,0.993283,2.4864
75,0.070084,0.995757,1.0033,1.00247,1.0004,0.993738,2.52
76,0.0696185,0.994832,1.00398,1.00281,1.00038,0.994299,2.5536
77,0.0693568,0.995568,1.00447,1.00309,1.00085,0.994958,2.5872
78,0.0692686,0.996545,1.00495,1.00392,1.0006,0.995277,2.6208
79,0.069463,0.996482,1.00474,1.00406,1.00018,0.99563,2.6544
80,0.0699326,0.996953,1.00506,1.00506,0.999458,0.995714,2.688
81,0.0709391,0.997929,1.00505,1.00617,0.999666,0.995184,2.7216
82,0.0724149,0.999178,1.005,1.00614,0.99908,0.9948,2.7552
83,0.0743786,0.999345,1.0048,1.0058,0.998924,0.994168,2.7888
84,0.0765879,0.999836,1.00528,1.00573,0.999166,0.993766,2.8224
85,0.0790058,1.00054,1.00541,1.00587,0.999258,0.993889,2.856
86,0.0814754,1.00087,1.00498,1.00543,0.999426,0.993251,2.8896
87,0.0837911,1.00037,1.00514,1.006,0.999621,0.992572,2.9232
88,0.0860092,1.0011,1.00567,1.00586,0.999626,0.991698,2.9568
89,0.0879145,1.00109,1.00506,1.00529,0.999826,0.991066,2.9904
90,0.0894662,1.00148,1.00505,1.00463,1.00007,0.991652,3.024
91,0.0905589,1.00091,1.00533,1.00469,1.0003,0.991549,3.0576
92,0.0910951,1.00159,1.00548,1.00422,1.00046,0.992236,3.0912
93,0.0910704,1.00152,1.00509,1.00447,1.00066,0.992505,3.1248
94,0.0907038,1.00115,1.00413,1.00466,1.00044,0.99259,3.1584
95,0.0902706,1.00072,1.00415,1.00409,1.00026,0.992621,3.192
96,0.0898413,1.00104,1.00419,1.00349,1.00039,0.992547,3.2256
97,0.0897126,1.0011,1.00328,1.00285,1.00007,0.992623,3.2592
98,0.0898439,1.00132,1.00272,1.00233,0.999822,0.992353,3.2928
99,0.0902444,1.00089,1.00215,1.0023,0.999833,0.992195,3.3264
100,0.0909555,1.00022,1.00222,1.0022,0.999628,0.992583,3.36
101,0.0918686,1.00026,1.00204,1.00218,0.999474,0.992462,3.3936
102,0.0930979,1.00011,1.00218,1.00237,0.999011,0.992124,3.4272
103,0.0946168,1.00062,1.00247,1.00244,0.99898,0.991986,3.4608
104,0.0964385,1.00099,1.00317,1.00272,0.998975,0.991079,3.4944
105,0.0986081,1.00195,1.00348,1.00282,0.998619,0.990603,3.528
106,0.100889,1.00175,1.00357,1.00233,0.998403,0.990011,3.5616
107,0.103253,1.0015,1.0032,1.00226,0.998167,0.9897,3.5952
108,0.105468,1.00132,1.00392,1.00236,0.998261,0.990008,3.6288
109,0.107534,1.00158,1.00414,1.00232,0.998319,0.989793,3.6624
110,0.109336,1.00242,1.00429,1.00277,0.998385,0.989999,3.696
111,0.110856,1.00164,1.00462,1.00328,0.997849,0.990054,3.7296
112,0.112107,1.00223,1.00515,1.00294,0.997475,0.990456,3.7632
113,0.113011,1.00232,1.0054,1.00266,0.997822,0.99157,3.7968
114,0.113581,1.00239,1.00569,1.00247,0.997596,0.992386,3.8304
115,0.113784,1.00221,1.00597,1.00269,0.997522,0.992754,3.864
116,0.113709,1.00251,1.00591,1.00264,0.997452,0.99333,3.8976
117,0.113397,1.00217,1.00593,1.0028,0.99745,0.993536,3.9312
118,0.112922,1.00174,1.00544,1.00256,0.997434,0.993173,3.9648
119,0.112267,1.00205,1.00513,1.00274,0.997705,0.992927,3.9984
120,0.111378,1.00124,1.00477,1.00295,0.997943,0.993137,4.032
121,0.110292,1.00093,1.00493,1.00341,0.997656,0.993327,4.0656
122,0.108868,1.00134,1.00467,1.00374,0.997432,0.992869,4.0992
123,0.10727,1.00087,1.00501,1.0044,0.997114,0.992795,4.1328
124,0.105426,0.999956,1.00513,1.00514,0.997171,0.992721,4.1664
125,0.103346,1.0004,1.00538,1.0062,0.997205,0.991946,4.2
126,0.101264,1.00031,1.00541,1.00675,0.997606,0.991703,4.2336
127,0.0991807,1.00041,1.00522,1.00705,0.997592,0.991368,4.2672
128,0.0971368,1.0002,1.00523,1.00767,0.997841,0.990163,4.3008
129,0.0952065,1.00078,1.00453,1.00785,0.997577,0.989916,4.3344
130,0.0934248,1.00054,1.00373,1.0079,0.997871,0.98919,4.368
131,0.0918266,1.00127,1.00317,1.00827,0.99773,0.98885,4.4016
132,0.0904269,1.00151,1.00326,1.00786,0.99803,0.988855,4.4352
133,0.0893031,1.00274,1.00317,1.00754,0.998277,0.988455,4.4688
134,0.0885329,1.00397,1.00341,1.00725,0.998265,0.988066,4.5024
135,0.0881837,1.00376,1.00297,1.00601,0.998046,0.987507,4.536
136,0.0882332,1.00439,1.00281,1.00508,0.998161,0.987356,4.5696
137,0.088692,1.00498,1.00259,1.00425,0.998421,0.987237,4.6032
138,0.0894498,1.00553,1.00251,1.00345,0.998192,0.98693,4.6368
139,0.0904838,1.00547,1.00267,1.00323,0.998082,0.986626,4.6704
140,0.0916725,1.00562,1.00187,1.00282,0.998016,0.986548,4.704
141,0.0930062,1.00515,1.00153,1.00266,0.998006,0.986422,4.7376
142,0.0943052,1.00477,1.00107,1.0025,0.997852,0.986079,4.7712
143,0.0956521,1.00498,1.00136,1.0024,0.997641,0.986225,4.8048
144,0.0968444,1.00384,1.00097,1.00172,0.997522,0.98672,4.8384
145,0.0979272,1.00326,1.00109,1.00196,0.996969,0.987135,4.872
