depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
109,0.106533,0.999443,1.00014,1.00143,0.997824,0.988519,3.379
110,0.10638,0.999236,1.00028,1.00159,0.997435,0.988259,3.41
111,0.106311,0.999477,0.999918,1.00184,0.997036,0.987997,3.441
112,0.106228,0.999618,1.00041,1.00188,0.997208,0.987669,3.472
113,0.106136,0.999611,1.0008,1.0015,0.997456,0.987369,3.503
114,0.105992,0.99883,1.0006,1.00134,0.997595,0.986685,3.534
115,0.105807,0.999122,1.00059,1.00106,0.998209,0.986432,3.565
116,0.105572,0.998936,1.00042,1.00111,0.997883,0.986293,3.596
117,0.105206,0.998843,1.00067,1.00112,0.997907,0.986101,3.627
118,0.104727,0.998477,1.00074,1.00141,0.998173,0.986086,3.658
119,0.104119,0.998186,1.00105,1.00184,0.998288,0.98568,3.689
120,0.103331,0.997424,1.00098,1.00236,0.998359,0.985705,3.72
121,0.102496,0.997681,1.0011,1.00294,0.99859,0.985322,3.751
122,0.101632,0.997537,1.00131,1.00375,0.99876,0.985294,3.782
123,0.100825,0.997584,1.00121,1.00413,0.998854,0.985274,3.813
124,0.100088,0.998158,1.00147,1.00419,0.99897,0.985371,3.844
125,0.0994079,0.998049,1.00145,1.00389,0.998911,0.985768,3.875
126,0.0988394,0.99884,1.00164,1.00399,0.998578,0.986213,3.906
127,0.0983129,0.999313,1.00136,1.00361,0.998342,0.986557,3.937
128,0.097807,0.999029,1.00084,1.00336,0.998019,0.98746,3.968
129,0.0974237,0.999328,1.0007,1.00325,0.997843,0.987661,3.999
130,0.0971417,0.999334,1.00037,1.00266,0.997173,0.988211,4.03
131,0.0969846,0.99969,0.999775,1.00215,0.997117,0.988769,4.061
132,0.0969192,0.999489,0.999426,1.00137,0.996712,0.989091,4.092
133,0.0969251,0.999659,0.99993,1.00155,0.996843,0.989558,4.123
134,0.0970305,1.00019,0.999762,1.00103,0.997015,0.98938,4.154
135,0.0970131,1.00007,0.9995,1.00045,0.997145,0.98934,4.185
136,0.096981,1.00009,0.999727,0.999931,0.997373,0.989423,4.216
137,0.096838,0.999763,0.999585,0.999925,0.997177,0.988947,4.247
138,0.0965944,1.00004,0.999249,1.00008,0.996879,0.988425,4.278
139,0.0963431,1.00041,0.999526,1.00061,0.996679,0.98802,4.309
140,0.0960912,1.00085,0.998962,1.00111,0.996177,0.987433,4.34
141,0.0957669,1.0013,0.99908,1.00138,0.996102,0.987129,4.371
142,0.0954889,1.00144,0.999244,1.00188,0.996149,0.987031,4.402
143,0.0952849,1.00108,0.999217,1.00247,0.996322,0.986623,4.433
144,0.0951423,1.00094,0.998965,1.00294,0.996236,0.986513,4.464
145,0.095132,1.00077,0.999254,1.00348,0.996303,0.986302,4.495
146,0.0951758,0.999717,0.999171,1.00365,0.996483,0.986662,4.526
147,0.095298,0.999681,0.99876,1.00342,0.996785,0.987008,4.557
148,0.0954891,0.999318,0.998557,1.00361,0.996789,0.987404,4.588
149,0.0956795,0.998303,0.99825,1.00357,0.996728,0.987593,4.619
150,0.0958809,0.997881,0.998089,1.00383,0.996639,0.987976,4.65
151,0.0960556,0.996708,0.998152,1.00349,0.996989,0.988056,4.681
152,0.0963149,0.996397,0.998567,1.00376,0.997439,0.988146,4.712
153,0.0966295,0.997231,0.9987,1.00372,0.997654,0.988009,4.743
154,0.0969455,0.997103,0.998617,1.0029,0.998025,0.988229,4.774
155,0.0971794,0.996772,0.998382,1.00263,0.9983,0.988172,4.805
156,0.0973255,0.996956,0.999282,1.00236,0.998481,0.987593,4.836
157,0.0972907,0.99753,0.999475,1.00265,0.999181,0.987232,4.867
158,0.0971983,0.997488,0.998951,1.0018,0.999182,0.987027,4.898
159,0.0969338,0.997127,0.998811,1.00173,0.999328,0.987324,4.929
160,0.0966965,0.997481,0.998737,1.00174,0.99893,0.987493,4.96
161,0.0963855,0.997688,0.999464,1.00177,0.998954,0.987427,4.991
162,0.096065,0.998285,0.999666,1.00183,0.998943,0.987752,5.022
163,0.0958073,0.998092,0.999538,1.00204,0.99918,0.987854,5.053
164,0.0955975,0.998204,0.998936,1.00188,0.999156,0.987913,5.084
165,0.0953836,0.997985,0.999299,1.0021,0.999135,0.98834,5.115
166,0.0952984,0.997938,0.99916,1.00248,0.999208,0.988601,5.146
167,0.0952625,0.99767,0.999303,1.00291,0.99878,0.988665,5.177
168,0.0952968,0.997609,0.999299,1.00328,0.998698,0.988669,5.208
169,0.0954177,0.996987,0.999125,1.00371,0.999089,0.988914,5.239
170,0.0955601,0.996965,0.998799,1.00371,0.99953,0.989033,5.27
171,0.0958189,0.997283,0.998887,1.00417,0.999878,0.989043,5.301
172,0.0961715,0.997119,0.998684,1.00438,1.00024,0.988896,5.332
173,0.0964774,0.996425,0.998803,1.00465,1.00076,0.988452,5.363
174,0.0967301,0.996595,0.999011,1.00493,1.00109,0.988155,5.394
175,0.096925,0.996571,0.999037,1.00503,1.00146,0.987625,5.425
176,0.0970183,0.997423,0.999245,1.00531,1.00171,0.98758,5.456
177,0.0969688,0.997893,0.999053,1.00524,1.00182,0.98693,5.487
178,0.0968307,0.997771,0.99852,1.00495,1.00223,0.986148,5.518
179,0.0966358,0.997758,0.998114,1.00452,1.00212,0.985833,5.549
180,0.0964246,0.997836,0.998134,1.00404,1.00233,0.985846,5.58
181,0.0961506,0.998309,0.99772,1.00314,1.00223,0.98639,5.611
182,0.0958969,0.998438,0.99735,1.0024,1.00139,0.986884,5.642
183,0.0956058,0.998474,0.997335,1.00211,1.001,0.987232,5.673
184,0.095287,0.999237,0.997638,1.0018,1.00056,0.987371,5.704
185,0.0948658,0.999057,0.997852,1.00156,1.00055,0.987625,5.735
186,0.0944967,0.999117,0.997485,1.00186,0.999802,0.987998,5.766
187,0.0940746,0.999036,0.997244,1.00172,0.999281,0.988263,5.797
188,0.0937815,0.998731,0.996647,1.00186,0.998565,0.988505,5.828
189,0.0935377,0.99856,0.996489,1.00244,0.997706,0.988746,5.859
190,0.0934865,0.998167,0.996926,1.00283,0.996859,0.988468,5.89
191,0.0935116,0.997805,0.997632,1.00303,0.996407,0.988624,5.921
192,0.0936834,0.996817,0.997739,1.00279,0.996306,0.98863,5.952
193,0.0939105,0.995801,0.998063,1.00235,0.996037,0.988428,5.983
194,0.0942432,0.995528,0.998298,1.00218,0.995765,0.988206,6.014
195,0.0946477,0.995111,0.998646,1.00218,0.995806,0.987729,6.045
196,0.0949539,0.994689,0.998475,1.00167,0.995912,0.987045,6.076
197,0.0951767,0.993923,0.998783,1.00139,0.995938,0.986259,6.107
198,0.0952089,0.994348,0.998837,1.00122,0.995969,0.985999,6.138
199,0.0951714,0.994272,0.999148,1.00095,0.996342,0.985215,6.169
200,0.095015,0.994248,0.999361,1.00095,0.996758,0.984789,6.2
201,0.094705,0.99366,0.999441,1.00131,0.996999,0.98425,6.231
202,0.0942832,0.993379,0.998918,1.00128,0.997314,0.983955,6.262
203,0.0936864,0.993228,0.999745,1.00125,0.997129,0.98452,6.293
204,0.0929865,0.993715,1.00022,1.00177,0.997042,0.985022,6.324
205,0.0921181,0.995154,1.00095,1.00169,0.996894,0.985223,6.355
206,0.0911165,0.996126,1.00097,1.00256,0.996741,0.985174,6.386
207,0.090116,0.996898,1.00085,1.00303,0.997202,0.985504,6.417
208,0.0890655,0.997159,1.00075,1.00385,0.997332,0.985922,6.448
209,0.0880445,0.996938,1.0005,1.00423,0.997269,0.985788,6.479
210,0.0871364,0.997621,0.999986,1.00465,0.997005,0.986151,6.51
211,0.0861894,0.997452,0.99934,1.00552,0.996956,0.986085,6.541
212,0.0854375,0.996765,0.998587,1.00628,0.996844,0.985924,6.572
213,0.0848137,0.996444,0.998702,1.00721,0.997063,0.985769,6.603
214,0.0844535,0.996076,0.998526,1.0073,0.997317,0.985994,6.634
215,0.0841842,0.995878,0.998111,1.0075,0.997208,0.986565,6.665
216,0.0841414,0.994827,0.997686,1.00721,0.997015,0.986908,6.696
