depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
0,,,,,,,0.0
1,,,,,,,0.0329
2,,,,,,,0.0658
3,,,,,,,0.0987
4,,,,,,,0.1316
5,,,,,,,0.1645
6,,,,,,,0.1974
7,,,,,,,0.2303
8,,,,,,,0.2632
9,,,,,,,0.2961
10,,,,,,,0.329
11,,,,,,,0.3619
12,,,,,,,0.3948
13,,,,,,,0.4277
14,,,,,,,0.4606
15,,,,,,,0.4935
16,,,,,,,0.5264
17,,,,,,,0.5593
18,,,,,,,0.5922
19,,,,,,,0.6251
20,,,,,,,0.658
21,,,,,,,0.6909
22,,,,,,,0.7238
23,0.0473622,0.996464,1.01614,1.00694,0.995144,0.985137,0.7567
24,0.0472265,1.00032,1.01527,1.00606,0.995852,0.984242,0.7896
25,0.0470518,1.00096,1.01646,1.00531,0.995541,0.98448,0.8225
26,0.0467708,1.00246,1.01525,1.00446,0.995779,0.984745,0.8554
27,0.0464145,1.00219,1.01384,1.00392,0.996253,0.984424,0.8883
28,0.0458782,1.0032,1.01211,1.00408,0.996636,0.984987,0.9212
29,0.0453615,1.00462,1.01197,1.00396,0.997211,0.985628,0.9541
30,0.0447264,1.00587,1.01056,1.00364,0.997582,0.986321,0.987
31,0.0442189,1.0065,1.01012,1.00353,0.997265,0.987501,1.0199
32,0.0436076,1.00654,1.0096,1.00331,0.998128,0.988743,1.0528
33,0.0430578,1.00632,1.00983,1.00173,0.999139,0.988496,1.0857
34,0.0425806,1.00615,1.00899,1.00095,0.999501,0.989069,1.1186
35,0.042112,1.00827,1.00957,1.0001,1.00001,0.989472,1.1515
36,0.0417388,1.00815,1.00954,0.999689,1.00066,0.98951,1.1844
37,0.0413397,1.00825,1.00939,0.999103,1.00111,0.990749,1.2173
38,0.0407104,1.00979,1.00797,0.998046,1.00129,0.991096,1.2502
39,0.040098,1.01215,1.00882,0.997971,1.0011,0.993486,1.2831
40,0.0392238,1.01223,1.00964,0.999083,1.00135,0.994553,1.316
41,0.0380872,1.01249,1.01061,0.999865,1.00032,0.99492,1.3489
42,0.0371269,1.01107,1.00712,0.999431,0.999263,0.995539,1.3818
43,0.0362016,1.00579,1.00494,1.00078,0.996783,0.997272,1.4147
44,0.035582,1.00462,1.0045,0.999543,0.999522,0.995159,1.4476
45,0.0352155,1.00797,1.00506,0.999184,0.999066,0.995304,1.4805
46,0.0348286,1.00901,1.00339,0.996356,0.999792,0.995096,1.5134
47,0.0345433,1.00748,1.0005,0.996068,0.998312,0.995241,1.5463
48,0.0343427,1.0075,1.00032,0.996553,0.997806,0.99499,1.5792
49,0.0340817,1.00691,0.997746,0.995706,0.997097,0.995472,1.6121
