depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
85,0.111093,0.999108,1.00217,0.999825,0.998512,0.991417,3.0345
86,0.111445,0.998277,1.00246,0.999846,0.99849,0.991269,3.0702
87,0.111814,0.998319,1.0026,1.00019,0.998486,0.99162,3.1059
88,0.112032,0.997448,1.00157,0.999929,0.99844,0.991617,3.1416
89,0.112109,0.99732,1.00162,1.00055,0.998497,0.991969,3.1773
90,0.112213,0.997852,1.00114,1.00038,0.999015,0.992129,3.213
91,0.112194,0.997833,1.00079,1.00076,0.999037,0.991837,3.2487
92,0.112107,0.997912,0.999727,1.00086,0.99899,0.992014,3.2844
93,0.111988,0.997517,0.998993,1.0008,0.998787,0.992264,3.3201
94,0.111877,0.996963,0.999006,1.0005,0.998558,0.992609,3.3558
95,0.1118,0.996987,0.998613,1.00018,0.998664,0.992429,3.3915
96,0.111741,0.99762,0.998911,1.00033,0.998991,0.992205,3.4272
97,0.11171,0.997571,0.998954,1.00002,0.998586,0.991899,3.4629
98,0.111795,0.997947,0.999432,0.999673,0.998331,0.991571,3.4986
99,0.111935,0.998495,0.999941,0.999296,0.998242,0.990993,3.5343
100,0.112075,0.998692,1.00028,0.998796,0.998536,0.990965,3.57
101,0.112218,0.998166,1.00079,0.998916,0.998574,0.99092,3.6057
102,0.112386,0.998376,1.00151,0.998998,0.99842,0.990664,3.6414
103,0.112525,0.998256,1.00192,0.998887,0.998978,0.990355,3.6771
104,0.112768,0.997807,1.00147,0.998937,0.999375,0.990189,3.7128
105,0.112992,0.998007,1.00198,0.998685,0.999537,0.989898,3.7485
106,0.113304,0.997456,1.00184,0.998179,1.00022,0.989964,3.7842
107,0.11367,0.997856,1.00145,0.997746,1.00042,0.990599,3.8199
108,0.114056,0.997592,1.0015,0.997654,1.00027,0.991337,3.8556
109,0.114411,0.997402,1.00173,0.997387,1.00042,0.991621,3.8913
110,0.114698,0.997079,1.00157,0.997024,1.00047,0.992007,3.927
111,0.114982,0.997671,1.00103,0.997044,1.00024,0.992548,3.9627
112,0.115141,0.997432,1.00049,0.996762,1.00005,0.992602,3.9984
113,0.115318,0.998343,1.00084,0.996647,1.00019,0.993315,4.0341
114,0.115568,0.998306,1.00072,0.996661,1.0002,0.993398,4.0698
115,0.115604,0.998412,1.00048,0.996761,0.999762,0.993598,4.1055
116,0.115658,0.998016,0.999948,0.996525,0.999344,0.994112,4.1412
117,0.115645,0.997415,1.00037,0.996534,0.998893,0.993955,4.1769
