depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
135,0.0476483,1.00722,1.02217,1.05124,1.00326,0.992064,4.1715
136,0.048686,1.00706,1.02187,1.05189,1.00336,0.99171,4.2024
137,0.0496145,1.00721,1.02278,1.05196,1.00343,0.991665,4.2333
138,0.0503699,1.00661,1.02311,1.05236,1.00316,0.992012,4.2642
139,0.0509918,1.00576,1.02366,1.05257,1.00269,0.991609,4.2951
140,0.0515675,1.00367,1.0236,1.05344,1.00256,0.99196,4.326
141,0.0520282,1.00295,1.02201,1.05321,1.00228,0.991991,4.3569
142,0.0526741,1.00333,1.02124,1.05145,1.002,0.992375,4.3878
143,0.0535856,1.00374,1.0211,1.04948,1.00221,0.99251,4.4187
144,0.0546167,1.00357,1.02175,1.04815,1.00229,0.992122,4.4496
145,0.0556017,1.00408,1.02186,1.04709,1.00163,0.992069,4.4805
146,0.056538,1.00347,1.0217,1.04577,1.00093,0.992497,4.5114
147,0.0572256,1.00391,1.02215,1.04367,1.00013,0.991985,4.5423
148,0.0577459,1.00362,1.02251,1.04164,1.00015,0.99161,4.5732
149,0.0580487,1.0042,1.02303,1.0402,0.999884,0.991373,4.6041
150,0.0582003,1.00586,1.02257,1.0385,0.999254,0.991003,4.635
151,0.0582388,1.00626,1.02225,1.03729,0.999968,0.990553,4.6659
152,0.0582694,1.00662,1.0216,1.03686,0.999473,0.990502,4.6968
153,0.0583034,1.00756,1.02131,1.0373,0.999293,0.990752,4.7277
154,0.0583189,1.00801,1.02162,1.03821,0.999127,0.990382,4.7586
155,0.0582814,1.00821,1.02093,1.04028,0.999268,0.989984,4.7895
156,0.0582057,1.00876,1.02093,1.04177,0.999448,0.989513,4.8204
157,0.0580632,1.00892,1.02025,1.04421,0.999828,0.989346,4.8513
158,0.0579071,1.00879,1.02039,1.04605,1.00014,0.988879,4.8822
159,0.0577481,1.00703,1.01945,1.04778,1.00001,0.988901,4.9131
160,0.0576007,1.00689,1.01927,1.04955,1.00046,0.98894,4.944
161,0.0574777,1.00604,1.01911,1.05053,1.00073,0.989021,4.9749
162,0.0574097,1.00562,1.01794,1.05131,1.00121,0.988716,5.0058
163,0.0572953,1.00505,1.01756,1.05093,1.00059,0.988683,5.0367
164,0.0572293,1.00382,1.01673,1.05041,0.999831,0.988822,5.0676
165,0.0572114,1.00263,1.01663,1.04963,0.999374,0.988881,5.0985
166,0.0573637,1.00246,1.01692,1.04888,0.998928,0.989727,5.1294
167,0.057548,1.00137,1.01622,1.04814,0.998123,0.990736,5.1603
168,0.0576377,1.00081,1.01613,1.04695,0.997323,0.991515,5.1912
169,0.0576275,1.00058,1.01503,1.04593,0.996451,0.992054,5.2221
170,0.0575279,0.999919,1.01514,1.04445,0.996102,0.99189,5.253
171,0.0573015,1.00089,1.01465,1.04253,0.995723,0.991531,5.2839
172,0.0570675,1.00107,1.01428,1.0412,0.995674,0.991732,5.3148
173,0.056779,1.00259,1.01504,1.04033,0.995399,0.991917,5.3457
174,0.0564961,1.00387,1.01492,1.03934,0.995604,0.992464,5.3766
175,0.0560885,1.00379,1.01503,1.03955,0.99578,0.993431,5.4075
176,0.0557022,1.00398,1.01516,1.0402,0.995635,0.994087,5.4384
177,0.0552202,1.00331,1.01492,1.04129,0.996241,0.994481,5.4693
178,0.0546946,1.00325,1.01475,1.04219,0.997169,0.994423,5.5002
179,0.0541222,1.00372,1.01505,1.04381,0.998105,0.994328,5.5311
180,0.0535247,1.00336,1.01578,1.04447,0.999189,0.994331,5.562
